nome,valor_compra,preco_venda,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.0,0.72,unidade
"AGENDAS, CADERNOS E APOSTILAS",0.01,0.73,unidade
ARTES DIGITAIS - 1g,49.99,80.7,unidade
ARTES DIGITAIS - 1g,49.99,80.7,unidade
ARTES DIGITAIS - 1g,74.99,120.7,unidade
ARTES DIGITAIS - 1g,49.99,80.7,unidade
TECIDO HELANCA LIGHT - 10g,25.5,41.52,unidade
TECIDO HELANCA LIGHT - 10g,20.3,33.2,unidade
TECIDO HELANCA LIGHT - 10g,19.35,31.68,unidade
TECIDO HELANCA LIGHT - 10g,18.7,30.64,unidade
TECIDO HELANCA LIGHT - 10g,18.19,29.82,unidade
TECIDO HELANCA LIGHT - 10g,14.5,23.92,unidade
TECIDO HELANCA LIGHT - 10g,9.7,16.24,unidade
TECIDO HELANCA LIGHT - 10g,9.05,15.2,unidade
TECIDO HELANCA LIGHT - 10g,8.58,14.45,unidade
TECIDO HELANCA LIGHT - 10g,8.33,14.05,unidade
TECIDO HELANCA LIGHT - 10g,16.5,27.12,unidade
TECIDO HELANCA LIGHT - 10g,11.7,19.44,unidade
TECIDO HELANCA LIGHT - 10g,11.05,18.4,unidade
TECIDO HELANCA LIGHT - 10g,10.5,17.52,unidade
TECIDO HELANCA LIGHT - 10g,10.17,16.99,unidade
TECIDO HELANCA LIGHT - 10g,20.5,33.52,unidade
TECIDO HELANCA LIGHT - 10g,15.7,25.84,unidade
TECIDO HELANCA LIGHT - 10g,14.85,24.48,unidade
TECIDO HELANCA LIGHT - 10g,14.26,23.54,unidade
TECIDO HELANCA LIGHT - 10g,13.87,22.91,unidade
TECIDO HELANCA LIGHT - 10g,25.5,41.52,unidade
TECIDO HELANCA LIGHT - 10g,20.3,33.2,unidade
TECIDO HELANCA LIGHT - 10g,19.35,31.68,unidade
TECIDO HELANCA LIGHT - 10g,18.7,30.64,unidade
TECIDO HELANCA LIGHT - 10g,18.19,29.82,unidade
TECIDO HELANCA LIGHT - 10g,36.5,59.12,unidade
TECIDO HELANCA LIGHT - 10g,30.7,49.84,unidade
